Time,Toy_Switch,Child_EG,Parent_EG
00:18.0,Toy Switch Present,,
00:18.1,Toy Switch Present,,
00:18.1,Toy Switch Present,,
00:18.1,Toy Switch Present,,
00:18.2,Toy Switch Present,,
00:18.2,Toy Switch Present,,
00:18.3,Toy Switch Present,,
00:18.3,Toy Switch Present,,
00:18.3,Toy Switch Present,,
00:18.4,Toy Switch Present,,
00:18.4,Toy Switch Present,,
00:18.4,Toy Switch Present,,
00:18.4,Toy Switch Present,,
00:18.5,Toy Switch Present,,
00:18.5,Toy Switch Present,,
00:18.6,Toy Switch Present,,
00:18.6,Toy Switch Present,,
00:18.6,Toy Switch Present,,
00:18.6,Toy Switch Present,,
00:18.7,Toy Switch Present,,
00:18.7,Toy Switch Present,,
00:18.7,Toy Switch Present,,
00:18.8,Toy Switch Present,,
00:18.8,Toy Switch Present,,
00:18.8,Toy Switch Present,,
00:18.9,Toy Switch Present,,
00:18.9,Toy Switch Present,,
00:19.0,Toy Switch Present,,
00:19.0,Toy Switch Present,,
00:19.0,Toy Switch Present,,
00:19.1,Toy Switch Present,,
00:19.1,Toy Switch Present,,
00:19.1,Toy Switch Present,,
00:19.1,Toy Switch Present,,
00:19.2,Toy Switch Present,,
00:19.2,Toy Switch Present,,
00:19.3,Toy Switch Present,,
00:19.3,Toy Switch Present,,
00:19.3,Toy Switch Present,,
00:19.4,Toy Switch Present,,
00:19.4,Toy Switch Present,,
00:19.4,Toy Switch Present,,
00:19.5,Toy Switch Present,,
00:19.5,Toy Switch Present,,
00:19.5,Toy Switch Present,,
00:19.6,Toy Switch Present,,
00:19.6,Toy Switch Present,,
00:19.6,Toy Switch Present,,
00:19.6,Toy Switch Present,,
00:19.7,Toy Switch Present,,
00:19.7,Toy Switch Present,,
00:19.7,Toy Switch Present,,
00:19.8,Toy Switch Present,,
00:19.8,Toy Switch Present,,
00:19.8,Toy Switch Present,,
00:19.9,Toy Switch Present,,
00:19.9,Toy Switch Present,,
00:20.0,Toy Switch Present,,
00:20.0,Toy Switch Present,,
00:20.0,Toy Switch Present,,
00:20.1,Toy Switch Present,,
00:20.1,Toy Switch Present,,
00:20.1,Toy Switch Present,,
00:20.1,Toy Switch Present,,
00:20.2,Toy Switch Present,,
00:20.2,Toy Switch Present,,
00:20.3,Toy Switch Present,,
00:20.3,Toy Switch Present,,
00:20.3,Toy Switch Present,,
00:20.4,Toy Switch Present,,
00:20.4,Toy Switch Present,,
00:20.4,Toy Switch Present,,
00:20.5,Toy Switch Present,,
00:20.5,Toy Switch Present,,
00:20.5,Toy Switch Present,,
00:20.5,Toy Switch Present,,
00:20.6,Toy Switch Present,,
00:20.6,Toy Switch Present,,
00:20.6,Toy Switch Present,,
00:20.7,Toy Switch Present,,
00:20.7,Toy Switch Present,,
00:20.8,Toy Switch Present,,
00:20.8,Toy Switch Present,,
00:20.8,Toy Switch Present,,
00:20.8,Toy Switch Present,,
00:20.9,Toy Switch Present,,
00:20.9,Toy Switch Present,,
00:21.0,Toy Switch Present,,
00:21.0,Toy Switch Present,,
00:21.0,Toy Switch Present,,
00:21.1,Toy Switch Present,,
00:21.1,Toy Switch Present,,
00:21.1,Toy Switch Present,,
00:21.1,Toy Switch Present,,
00:21.2,Toy Switch Present,,
00:21.2,Toy Switch Present,,
00:21.2,Toy Switch Present,,
00:21.3,Toy Switch Present,,
00:21.3,Toy Switch Present,,
00:21.4,Toy Switch Present,,
00:21.4,Toy Switch Present,,
00:21.4,Toy Switch Present,,
00:21.5,Toy Switch Present,,
00:21.5,Toy Switch Present,,
00:21.5,Toy Switch Present,,
00:21.5,Toy Switch Present,,
00:21.6,Toy Switch Present,,
00:21.6,Toy Switch Present,,
00:21.7,Toy Switch Present,,
00:21.7,Toy Switch Present,,
00:21.7,Toy Switch Present,,
00:21.8,Toy Switch Present,,
00:21.8,Toy Switch Present,,
00:21.8,Toy Switch Present,,
00:21.9,Toy Switch Present,,
00:21.9,Toy Switch Present,,
00:21.9,Toy Switch Present,,
00:22.0,Toy Switch Present,,
00:22.0,Toy Switch Present,,
00:22.0,Toy Switch Present,,
00:22.1,Toy Switch Present,,
00:22.1,Toy Switch Present,,
00:22.1,Toy Switch Present,,
00:22.1,Toy Switch Present,,
00:22.2,Toy Switch Present,,
00:22.2,Toy Switch Present,,
00:22.3,Toy Switch Present,,
00:22.3,Toy Switch Present,,
00:22.3,Toy Switch Present,,
